,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,Attribute,Month,Time,Date of the week,Driver sex,Driver age,Educational background,License grade,Type of vehicle,Plate code,Vehicle service year,City,Year,Cause of accident,Injury,Injury age,Injury occuption,No of injury person,No of injury male,No of injury female
4,Unnamed: 4,1,1/08:30,Thursday,Male,26,10th,Truck III,Turbo truck,3-03132 E T,2010,Bichena,2011,Failure to give priority to pedestrians,Serious injury,24,Farmer,1,1,0
5,Unnamed: 5,1,1/10:00,Thursday,Male,32,10th,Truck I,Isuzu truck,3-15674 A M,2010,Motta,2011,Speed,Simple injury,32,Farmer,1,0,1
6,Unnamed: 6,1,1/14:25,Thursday,Male,35,Degree,Public transport I,Hilux toyota,3-94913 A A,2010,D/Markos,2011,Speed,Death,20,Student,1,0,1
7,Unnamed: 7,1,1/15:00,Thursday,Male,26,10th,Public transport I,Abadula,3-18688 A M,2010,Awabel,2011,Carelessness,Death,16,Student,1,1,0
8,Unnamed: 8,1,2/09:00,Friday,Male,54,12th,First driver license,Motor bicycle,2-6742 A M,2010,Amanuel,2011,Speed,Death,32,Civil Servant,1,1,0
9,Unnamed: 9,1,2/10:00,Friday,Male,35,12th,Public transport I,Hayruf,3-25190 A M,2010,Dejen,2011,Incoorect U-turn,Death,27/25,Driver/car attendant,2,2,0
10,Unnamed: 10,1,2/13:00,Friday,Male,49,10th,Public transport I,Abadula,3-12530 A M,2010,Zemten,2011,Incorrect overtaking,Serious injury,41,Driver,1,1,0
11,Unnamed: 11,1,2/16:00,Friday,Male,26,10th,Public transport I,Public isuzu,3-15793 A M,2010,Robgebya,2011,Slipped,Simple injury,36,Civil servant,1,1,0
12,Unnamed: 12,1,2/19:10,Friday,Male,29,12th,Public transport I,Public isuzu,4-05678 A M,2010,Amber,2011,Technical problem,Simple injury,15,Student,1,1,0
13,Unnamed: 13,1,3/11:00,Saturday,Male,24,11th,Public transport I,Isuzu truck,3-95981 A M,2010,Lumame,2011,Speed,Death,48,Farmer,1,0,1
14,Unnamed: 14,1,3/16:40,Saturday,Male,48,10th,Public transport I,Public isuzu,3-20829 A M,2010,Mergech,2011,Speed,Serious injury,43,Farmer,1,1,0
15,Unnamed: 15,1,3/20:30,Saturday,Male,44,10th,Taxi I,Froce bajaj,1-36710 A M,2010,D/Markos,2011,Failure to give priority to pedestrians,Simple Injury,13,Student,1,0,1
16,Unnamed: 16,1,4/06:00,Sunday,Male,25,11th,Public transport I,Public isuzu,3-29163 A A,2010,Yetmen,2011,Speed,Death,56,Farmer,1,1,0
17,Unnamed: 17,1,4/11:00,Sunday,Male,44,10th,Public transport I,Ambulance,3-06774 E T,2010,Motta,2011,Carelessness,Death,12,Student,1,0,1
18,Unnamed: 18,1,4/13:30,Sunday,Male,48,10th,Truck I,Isuzu truck,3-43258 A A,2010,Felege berhan,2011,Speed,Death,45,Farmer,1,1,0
19,Unnamed: 19,1,4/15:30,Sunday,Male,40,10th,Truck III,UD trucker,3-011473 E T,2010,Woynema,2011,Technical problem,Simple injury,40/25,Driver/car attendant,2,2,0
20,Unnamed: 20,1,4/18:00,Sunday,Male,37,Diploma,Truck III,Lobed truck,3-36524 E T,2010,Yegodena,2011,Bad weather condition,Death,40,Farmer,1,0,1
21,Unnamed: 21,1,4/20:00,Sunday,Male,25,10th,Truck I,Isuzu truck,3-15367 A M,2010,Wuger,2011,Speed,Death,25,Police,1,1,0
22,Unnamed: 22,1,5/07:30,Monday,Male,29,10th,Truck I,The small dump truck,3-97671 A A,2010,Dejen,2011,Technical problem,Death,37,Mechanic,1,1,0
